11	5	0	2245	10	9	198.80 	47.82 	2710.60 	231.55 	376.18 	179.74 	0.22 	172.39 	395.41 	8.67 	2.98 	2.07 	27.56 	7.33 	10	0	132	120	136	78.07692308	78.33333333	26	49
11	6	0	3573	15	14	215.20 	81.56 	2482.93 	68.47 	424.23 	162.72 	0.03 	128.21 	387.93 	4.09 	2.29 	1.33 	24.00 	6.47 	15	0	132	120	136	78.07692308	78.33333333	26	49
11	7	0	2271	9	8	229.33 	101.51 	2555.89 	38.34 	334.90 	154.42 	0.21 	151.98 	390.98 	4.68 	2.65 	2.12 	24.50 	8.40 	9	0	132	120	136	78.07692308	78.33333333	26	49
11	8	0	2943	11	11	242.55 	98.70 	2542.27 	84.87 	305.57 	115.40 	-0.36 	129.46 	397.13 	5.17 	2.44 	1.64 	24.00 	10.73 	11	0	132	120	136	78.07692308	78.33333333	26	49
11	9	0	2249	10	9	204.80 	71.13 	2715.30 	251.06 	337.27 	137.67 	0.16 	151.76 	395.57 	9.38 	1.98 	1.59 	21.33 	8.25 	10	0	132	120	136	78.07692308	78.33333333	26	49
12	1	0	3471	13	12	243.08 	113.26 	1164.46 	82.29 	317.56 	154.90 	-0.41 	172.16 	418.36 	15.91 	2.63 	2.39 	25.00 	9.82 	13	1	100	132	118	58.24786325	76.66666667	40	47
12	10	0	2079	8	7	237.00 	180.07 	1202.00 	29.20 	265.69 	111.90 	0.57 	178.51 	392.49 	8.62 	2.76 	2.86 	24.57 	12.31 	8	1	100	132	118	58.24786325	76.66666667	40	47
12	11	0	2613	10	9	238.80 	126.51 	1145.00 	131.11 	338.51 	157.97 	-0.25 	202.12 	388.68 	5.94 	2.30 	1.96 	24.00 	9.59 	10	1	100	132	118	58.24786325	76.66666667	40	47
12	12	0	4073	14	13	269.43 	176.65 	1116.71 	66.28 	348.31 	177.24 	0.71 	139.26 	381.63 	3.90 	2.19 	2.26 	22.46 	9.60 	14	1	100	132	118	58.24786325	76.66666667	40	47
12	13	0	2731	10	9	253.20 	154.87 	1159.50 	29.93 	314.14 	116.57 	-1.19 	153.89 	393.87 	5.92 	2.04 	1.95 	20.89 	9.75 	10	1	100	132	118	58.24786325	76.66666667	40	47
12	14	0	2499	10	9	228.80 	84.72 	1127.20 	39.94 	304.40 	137.74 	0.24 	183.35 	380.81 	3.13 	2.16 	2.33 	22.22 	12.18 	10	1	100	132	118	58.24786325	76.66666667	40	47
12	15	0	2175	10	9	197.60 	70.28 	1087.00 	31.70 	321.21 	138.31 	-0.30 	185.53 	385.01 	4.24 	2.06 	2.17 	20.89 	11.27 	10	1	100	132	118	58.24786325	76.66666667	40	47
12	16	0	2941	13	12	201.85 	69.64 	1128.46 	25.84 	268.23 	122.10 	-0.09 	147.84 	386.16 	5.31 	2.93 	2.75 	25.67 	11.75 	13	1	100	132	118	58.24786325	76.66666667	40	47
12	17	0	3041	13	12	213.23 	76.58 	1215.15 	95.73 	350.43 	182.79 	-0.10 	200.72 	378.06 	3.67 	2.03 	1.94 	21.67 	7.90 	13	1	100	132	118	58.24786325	76.66666667	40	47
12	18	0	2167	10	9	193.60 	57.79 	1278.70 	18.35 	320.07 	161.00 	1.20 	195.16 	448.45 	21.84 	2.28 	2.12 	24.44 	9.68 	10	1	100	132	118	58.24786325	76.66666667	40	47
12	19	0	2729	11	10	226.55 	168.12 	1236.91 	43.03 	340.92 	163.97 	-1.03 	211.26 	401.22 	10.23 	2.35 	2.49 	22.80 	10.67 	11	1	100	132	118	58.24786325	76.66666667	40	47
12	2	0	3241	12	11	250.00 	130.07 	1117.92 	54.00 	395.68 	182.62 	0.40 	183.76 	392.05 	4.03 	1.80 	1.03 	21.09 	4.76 	12	1	100	132	118	58.24786325	76.66666667	40	47
12	20	0	2577	10	9	236.40 	154.02 	1217.70 	101.21 	315.03 	151.71 	0.45 	184.11 	402.00 	10.81 	1.94 	1.62 	22.67 	10.77 	10	1	100	132	118	58.24786325	76.66666667	40	47
12	21	0	2643	11	10	223.27 	75.91 	1160.18 	92.34 	336.66 	157.13 	-0.10 	165.30 	402.75 	6.24 	1.19 	0.75 	17.60 	4.70 	11	1	100	132	118	58.24786325	76.66666667	40	47
12	22	0	3155	12	11	246.67 	146.63 	1159.67 	47.12 	350.80 	187.10 	0.00 	181.74 	395.18 	4.36 	1.06 	0.37 	16.73 	3.00 	12	1	100	132	118	58.24786325	76.66666667	40	47
12	23	0	2047	11	10	170.18 	87.35 	1182.09 	46.63 	299.94 	129.87 	-0.04 	134.89 	401.39 	7.26 	1.04 	0.70 	16.40 	6.38 	11	1	100	132	118	58.24786325	76.66666667	40	47
12	24	0	2743	11	11	228.36 	101.09 	1201.64 	50.71 	428.49 	221.46 	-0.09 	192.51 	403.35 	6.49 	1.72 	1.06 	20.00 	5.06 	11	1	100	132	118	58.24786325	76.66666667	40	47
12	25	0	2903	12	11	222.67 	67.55 	1160.33 	24.94 	366.88 	201.68 	0.06 	197.10 	385.50 	8.04 	1.69 	1.23 	20.00 	7.80 	12	1	100	132	118	58.24786325	76.66666667	40	47
12	26	0	3319	14	13	219.71 	64.83 	1161.79 	45.79 	416.99 	180.59 	0.21 	146.18 	405.94 	9.15 	1.33 	0.55 	17.85 	3.87 	14	1	100	132	118	58.24786325	76.66666667	40	47
12	27	0	2013	8	7	233.00 	133.13 	1231.25 	57.38 	295.93 	128.14 	-0.68 	173.63 	403.08 	8.96 	1.71 	1.04 	20.00 	5.16 	8	1	100	132	118	58.24786325	76.66666667	40	47
12	28	0	2613	12	11	198.67 	107.54 	1287.25 	115.14 	277.02 	115.21 	0.04 	113.84 	398.54 	6.70 	1.69 	1.64 	20.00 	9.63 	12	1	100	132	118	58.24786325	76.66666667	40	47
12	29	0	1965	9	8	200.44 	76.69 	1187.44 	35.91 	310.41 	151.21 	0.37 	176.72 	400.83 	10.41 	1.50 	0.97 	19.00 	6.32 	9	1	100	132	118	58.24786325	76.66666667	40	47
